epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.23074,4.75205,9.09783,1.87417,0.00093,0.1,0.00254,0.00025,3.22698,7.0465,1.92404,1.667e-05,1.667e-05,1.667e-05
2,1.82532,3.9381,9.54029,1.73888,0.00093,0.1,0.0024,0.00024,3.18598,7.05798,1.90561,4.95149e-05,4.95149e-05,4.95149e-05
3,2.40043,5.12075,14.2351,2.10317,0.00094,0.1,0.00222,0.00022,3.17223,7.0898,1.89512,8.16997e-05,8.16997e-05,8.16997e-05
4,3.05347,4.01946,9.62341,1.70138,0.01307,0.18182,0.01075,0.00518,2.53035,4.92199,1.46023,0.000113224,0.000113224,0.000113224
5,3.9668,2.66236,4.7215,1.12472,0.69039,0.18182,0.1308,0.01841,2.87583,7.10428,1.4805,0.000144089,0.000144089,0.000144089
6,4.82744,3.03746,5.83133,1.15264,0.69076,0.22727,0.13081,0.02304,2.97305,3.83309,1.35487,0.000174293,0.000174293,0.000174293
7,5.69342,2.75352,3.10863,0.91977,0.26052,0.51364,0.21071,0.04076,2.53454,5.0338,1.22778,0.000203837,0.000203837,0.000203837
8,6.70236,2.56179,2.82533,0.92919,0.4154,0.45909,0.35481,0.10977,2.40316,6.10979,1.27312,0.000232722,0.000232722,0.000232722
9,7.5828,2.52735,2.78204,1.05365,0.27355,0.37774,0.21823,0.09474,2.5328,3.2925,1.26098,0.000260946,0.000260946,0.000260946
10,8.37053,2.43466,3.47083,0.96749,0.16044,0.23636,0.10258,0.04497,2.46372,15.5363,1.30073,0.000288509,0.000288509,0.000288509
11,9.16903,2.39779,2.87635,0.95199,0.2046,0.41364,0.24439,0.11384,2.35711,30.0399,1.31214,0.000315413,0.000315413,0.000315413
12,9.94193,2.87399,2.91533,0.98412,0.2046,0.41364,0.24439,0.11384,2.35711,30.0399,1.31214,0.000341657,0.000341657,0.000341657
13,10.7576,2.37399,2.35775,0.92409,0.34627,0.51818,0.30304,0.08085,2.41926,5.01544,1.38373,0.00036724,0.00036724,0.00036724
14,11.6652,2.2601,2.24104,1.03141,0.26064,0.55909,0.3057,0.11083,2.34247,6.61903,1.3203,0.000392163,0.000392163,0.000392163
15,12.4303,2.10853,2.58697,0.89683,0.26064,0.55909,0.3057,0.11083,2.34247,6.61903,1.3203,0.000416427,0.000416427,0.000416427
16,13.2335,2.13723,1.70683,0.93425,0.20913,0.46364,0.23232,0.09364,2.35709,3.74698,1.10094,0.00044003,0.00044003,0.00044003
17,14.0431,2.24323,1.76433,0.96469,0.37264,0.32727,0.26052,0.09995,2.49931,4.57843,1.17722,0.000462973,0.000462973,0.000462973
18,14.8695,2.38577,1.7454,0.92747,0.37264,0.32727,0.26052,0.09995,2.49931,4.57843,1.17722,0.000485255,0.000485255,0.000485255
19,15.6713,2.186,1.49653,0.97505,0.1647,0.41256,0.17368,0.08428,2.24118,39.3713,1.1251,0.000506878,0.000506878,0.000506878
20,16.4353,2.51818,1.79273,0.93274,0.1647,0.41256,0.17368,0.08428,2.24118,39.3713,1.1251,0.000527841,0.000527841,0.000527841
21,17.3349,2.36023,1.79082,0.99001,0.25351,0.32727,0.19769,0.08025,2.26642,28.2346,1.2311,0.000548143,0.000548143,0.000548143
22,18.1054,2.21599,1.78633,0.97721,0.25351,0.32727,0.19769,0.08025,2.26642,28.2346,1.2311,0.000567785,0.000567785,0.000567785
23,18.915,2.34704,1.93312,0.92358,0.34603,0.32499,0.22642,0.07676,2.39102,4.23354,1.36113,0.000586767,0.000586767,0.000586767
24,19.6885,2.16248,1.54316,0.92699,0.34603,0.32499,0.22642,0.07676,2.39102,4.23354,1.36113,0.000605089,0.000605089,0.000605089
25,20.4744,2.09437,1.5123,0.97978,0.3358,0.65909,0.3106,0.09746,2.31503,2.77843,1.17037,0.000622751,0.000622751,0.000622751
26,21.2403,2.26536,1.90028,0.96021,0.3358,0.65909,0.3106,0.09746,2.31503,2.77843,1.17037,0.000639753,0.000639753,0.000639753
27,22.1145,2.04988,1.58812,0.96146,0.3358,0.65909,0.3106,0.09746,2.31503,2.77843,1.17037,0.000656095,0.000656095,0.000656095
28,22.9108,2.1753,1.65032,0.89384,0.49579,0.43182,0.5096,0.14391,2.39759,2.39816,1.26873,0.000671776,0.000671776,0.000671776
29,23.7382,2.23487,1.43995,0.99383,0.49579,0.43182,0.5096,0.14391,2.39759,2.39816,1.26873,0.000686797,0.000686797,0.000686797
30,24.5988,2.24164,1.21639,0.91825,0.4403,0.55136,0.4573,0.1703,2.33378,2.27246,1.25467,0.000701159,0.000701159,0.000701159
31,25.4353,2.41973,1.1964,0.92451,0.4403,0.55136,0.4573,0.1703,2.33378,2.27246,1.25467,0.00071486,0.00071486,0.00071486
32,26.2668,2.38135,1.21945,0.92785,0.4403,0.55136,0.4573,0.1703,2.33378,2.27246,1.25467,0.000727901,0.000727901,0.000727901
33,27.2246,1.85989,1.14741,0.95398,0.47926,0.60909,0.44497,0.1716,2.35384,1.96935,1.27232,0.000740281,0.000740281,0.000740281
34,27.99,2.45535,1.49698,0.96542,0.47926,0.60909,0.44497,0.1716,2.35384,1.96935,1.27232,0.000752002,0.000752002,0.000752002
35,28.761,2.38407,1.27318,0.93764,0.47926,0.60909,0.44497,0.1716,2.35384,1.96935,1.27232,0.000763063,0.000763063,0.000763063
36,29.5529,2.37702,1.30171,0.94122,0.52414,0.57287,0.44546,0.1399,2.40841,1.77909,1.26207,0.000773463,0.000773463,0.000773463
37,30.3028,2.37486,1.21031,0.94861,0.52414,0.57287,0.44546,0.1399,2.40841,1.77909,1.26207,0.000783203,0.000783203,0.000783203
38,31.0834,2.1657,1.14705,0.98244,0.52414,0.57287,0.44546,0.1399,2.40841,1.77909,1.26207,0.000792283,0.000792283,0.000792283
39,31.8849,1.9127,1.0483,0.91126,0.45424,0.56364,0.47293,0.18791,2.39053,2.23733,1.31389,0.000800703,0.000800703,0.000800703
40,32.8679,2.06392,1.13137,0.83858,0.45424,0.56364,0.47293,0.18791,2.39053,2.23733,1.31389,0.000808463,0.000808463,0.000808463
41,33.7268,1.88869,1.10918,0.88931,0.45424,0.56364,0.47293,0.18791,2.39053,2.23733,1.31389,0.000815563,0.000815563,0.000815563
42,34.5967,2.07133,1.11078,0.89101,0.42871,0.56364,0.36028,0.13552,2.45641,1.9639,1.3164,0.000822003,0.000822003,0.000822003
43,35.3616,2.41442,1.35188,0.88527,0.42871,0.56364,0.36028,0.13552,2.45641,1.9639,1.3164,0.000827782,0.000827782,0.000827782
44,36.1382,2.30296,1.35001,0.94458,0.42871,0.56364,0.36028,0.13552,2.45641,1.9639,1.3164,0.000832902,0.000832902,0.000832902
45,36.9097,1.90729,1.2262,0.94729,0.42871,0.56364,0.36028,0.13552,2.45641,1.9639,1.3164,0.000837361,0.000837361,0.000837361
46,37.8493,2.3095,1.11462,1.01274,0.63246,0.51364,0.45221,0.15948,2.53552,1.60792,1.14887,0.00084116,0.00084116,0.00084116
47,38.6028,1.94235,1.09514,0.96518,0.63246,0.51364,0.45221,0.15948,2.53552,1.60792,1.14887,0.000844299,0.000844299,0.000844299
48,39.3654,1.96125,0.98414,0.90837,0.63246,0.51364,0.45221,0.15948,2.53552,1.60792,1.14887,0.000846778,0.000846778,0.000846778
49,40.1364,1.99186,1.06202,0.90363,0.63246,0.51364,0.45221,0.15948,2.53552,1.60792,1.14887,0.000848596,0.000848596,0.000848596
50,40.9371,2.09652,1.26271,0.924,0.81697,0.46818,0.53828,0.17672,2.51635,2.30379,1.31901,0.000849755,0.000849755,0.000849755
51,41.7154,2.02152,1.29497,0.95454,0.81697,0.46818,0.53828,0.17672,2.51635,2.30379,1.31901,0.000841835,0.000841835,0.000841835
52,42.4878,2.23805,1.58456,0.96258,0.81697,0.46818,0.53828,0.17672,2.51635,2.30379,1.31901,0.000825332,0.000825332,0.000825332
53,43.3686,2.27655,1.38595,0.94451,0.81697,0.46818,0.53828,0.17672,2.51635,2.30379,1.31901,0.000808828,0.000808828,0.000808828
54,44.1639,2.64232,1.22294,0.99938,0.47365,0.46748,0.40039,0.14677,2.53958,2.47469,1.34145,0.000792325,0.000792325,0.000792325
55,44.9257,2.71476,1.20413,0.99135,0.47365,0.46748,0.40039,0.14677,2.53958,2.47469,1.34145,0.000775822,0.000775822,0.000775822
56,45.7038,2.33851,1.10415,0.95174,0.47365,0.46748,0.40039,0.14677,2.53958,2.47469,1.34145,0.000759318,0.000759318,0.000759318
57,46.4609,2.53982,1.2081,0.98394,0.47365,0.46748,0.40039,0.14677,2.53958,2.47469,1.34145,0.000742815,0.000742815,0.000742815
58,47.2654,2.17219,1.14936,0.90636,0.69039,0.56364,0.53829,0.2077,2.31299,2.19863,1.198,0.000726312,0.000726312,0.000726312
59,48.0944,1.9514,1.03646,0.92865,0.69039,0.56364,0.53829,0.2077,2.31299,2.19863,1.198,0.000709809,0.000709809,0.000709809
60,49.0328,2.18362,0.95488,0.92397,0.69039,0.56364,0.53829,0.2077,2.31299,2.19863,1.198,0.000693305,0.000693305,0.000693305
61,49.8614,1.93678,0.93031,0.93528,0.69039,0.56364,0.53829,0.2077,2.31299,2.19863,1.198,0.000676802,0.000676802,0.000676802
62,50.7354,1.86163,0.96649,0.91016,0.61987,0.53285,0.53627,0.17423,2.54225,2.39649,1.2363,0.000660299,0.000660299,0.000660299
63,51.494,1.89815,1.02002,0.87981,0.61987,0.53285,0.53627,0.17423,2.54225,2.39649,1.2363,0.000643795,0.000643795,0.000643795
64,52.2601,1.85915,0.99639,0.85826,0.61987,0.53285,0.53627,0.17423,2.54225,2.39649,1.2363,0.000627292,0.000627292,0.000627292
65,53.0259,2.26681,0.97633,0.88865,0.61987,0.53285,0.53627,0.17423,2.54225,2.39649,1.2363,0.000610789,0.000610789,0.000610789
66,53.8343,2.01539,0.9952,0.87806,0.47429,0.51346,0.40708,0.14219,2.71866,2.2117,1.25458,0.000594286,0.000594286,0.000594286
67,54.7142,2.0917,1.13808,0.92968,0.47429,0.51346,0.40708,0.14219,2.71866,2.2117,1.25458,0.000577782,0.000577782,0.000577782
68,55.4785,1.74595,0.87262,0.85956,0.47429,0.51346,0.40708,0.14219,2.71866,2.2117,1.25458,0.000561279,0.000561279,0.000561279
69,56.2526,2.05068,0.89135,0.90055,0.47429,0.51346,0.40708,0.14219,2.71866,2.2117,1.25458,0.000544776,0.000544776,0.000544776
70,57.0568,1.63034,0.85949,0.89159,0.52748,0.55345,0.4372,0.15213,2.57987,1.94947,1.19204,0.000528272,0.000528272,0.000528272
71,57.8661,1.69019,0.81862,0.8495,0.52748,0.55345,0.4372,0.15213,2.57987,1.94947,1.19204,0.000511769,0.000511769,0.000511769
72,58.6405,1.80022,1.00588,0.91734,0.52748,0.55345,0.4372,0.15213,2.57987,1.94947,1.19204,0.000495266,0.000495266,0.000495266
